condition,channel,band,abs_power_uV2,rel_power
eyes_closed,TP9,delta,30.0898,0.0602
eyes_closed,TP9,theta,23.2174,0.0468
eyes_closed,TP9,alpha,376.7598,0.7598
eyes_closed,TP9,beta,32.6286,0.0663
eyes_closed,TP9,gamma,11.4562,0.0233
eyes_closed,AF7,delta,36.2025,0.1616
eyes_closed,AF7,theta,24.7712,0.1131
eyes_closed,AF7,alpha,80.4298,0.3713
eyes_closed,AF7,beta,37.4124,0.176
eyes_closed,AF7,gamma,14.3465,0.0678
eyes_closed,AF8,delta,29.9185,0.1465
eyes_closed,AF8,theta,22.6736,0.113
eyes_closed,AF8,alpha,82.3549,0.4045
eyes_closed,AF8,beta,32.9595,0.1658
eyes_closed,AF8,gamma,12.2273,0.0615
eyes_closed,TP10,delta,39.3322,0.0717
eyes_closed,TP10,theta,27.4195,0.0504
eyes_closed,TP10,alpha,394.3265,0.7265
eyes_closed,TP10,beta,41.0528,0.0765
eyes_closed,TP10,gamma,15.0162,0.0279
eyes_open,TP9,delta,29.016,0.1835
eyes_open,TP9,theta,23.1987,0.1493
eyes_open,TP9,alpha,34.3568,0.2238
eyes_open,TP9,beta,33.2839,0.223
eyes_open,TP9,gamma,12.0913,0.0807
eyes_open,AF7,delta,247.6239,0.4226
eyes_open,AF7,theta,27.733,0.0992
eyes_open,AF7,alpha,37.6651,0.1467
eyes_open,AF7,beta,38.6889,0.1554
eyes_open,AF7,gamma,13.7397,0.0565
eyes_open,AF8,delta,245.9799,0.4208
eyes_open,AF8,theta,23.8533,0.0966
eyes_open,AF8,alpha,37.3742,0.1617
eyes_open,AF8,beta,34.009,0.1454
eyes_open,AF8,gamma,12.8515,0.056
eyes_open,TP10,delta,38.1092,0.1932
eyes_open,TP10,theta,27.6259,0.1437
eyes_open,TP10,alpha,40.8516,0.2149
eyes_open,TP10,beta,43.051,0.2287
eyes_open,TP10,gamma,14.8355,0.0796
